Ticker,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30
6199,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6201,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6202,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6203,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6204,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6205,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6206,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6207,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6208,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6209,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6210,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6213,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6214,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6196,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6194,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6174,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6192,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6175,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6176,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6177,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6179,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6180,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6182,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6183,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6184,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6185,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
6186,0.0003695,0.0004768,8.72e-05,0.0002482,0.0002537,5.275e-05,4.685e-05,-0.0002198,8.97e-05,0.0002052,0.0005126,0.0001751,0.0002156,0.0003247,0.000477,0.0003433,4.095e-05,0.000388,9.23e-05,0.0001118,3.93e-05,8.84e-05,0.0001287,2.33e-05,5.656e-05,0.000493,0.000466,0.0004203,0.0001545,-8.804e-05
